t,dual_CO2_Liq,p_CO2_Liq,dual_Electricity,p_Electricity,comp_in_CO2_Liq,comp_in_Electricity,comp_out_CO2_Comp,wedge_0.07_p_el,store_volume,store_charge_Fuelusetotal,store_discharge,dual_storage_balance_lambda,dual_soc_max_mu,dual_terminal_soc_nu,comp_on,store_charge_on,store_discharge_on,any_activity,idle_but_priced
T6572,-6.621210000000022,6.621210000000022,-52.92,52.92,0.0,0.0,0.0,3.7044000000000006,25.14663589743699,0.0,0.0,6.621210000000022,0.0,-5.4713110823311695,False,False,False,False,True
T6573,-6.621210000000022,6.621210000000022,-50.02,50.02,0.6529833333333334,0.04570883333333334,0.6529833333333334,3.5014000000000007,24.493652564103655,0.0,0.6529833333333334,6.621210000000022,0.0,-5.4713110823311695,True,False,True,True,False
T6574,-6.621210000000022,6.621210000000022,-45.06,45.06,1.6324583333333331,0.11427208333333333,1.6324583333333331,3.1542000000000003,24.494152564103654,0.0004999999999999449,0.0,6.621210000000022,0.0,-5.4713110823311695,True,True,False,True,False
T6575,-6.621210000000022,6.621210000000022,-35.44,35.44,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.4808,24.494652564103653,0.0004999999999999449,0.0,6.621210000000022,0.0,-5.4713110823311695,True,True,False,True,False
T6576,-6.621210000000022,6.621210000000022,-32.49,32.49,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.2743,24.495152564103652,0.0004999999999999449,0.0,6.621210000000022,0.0,-5.4713110823311695,True,True,False,True,False
T6577,-6.621210000000022,6.621210000000022,-31.0,31.0,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.1700000000000004,24.49565256410365,0.0004999999999999449,0.0,6.621210000000022,0.0,-5.4713110823311695,True,True,False,True,False
T6578,-6.621210000000022,6.621210000000022,-30.94,30.94,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.1658000000000004,24.49615256410365,0.0004999999999999449,0.0,6.621210000000022,0.0,-5.4713110823311695,True,True,False,True,False
T6579,-6.621210000000022,6.621210000000022,-31.32,31.32,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.1924,24.49665256410365,0.0004999999999999449,0.0,6.621210000000022,0.0,-5.4713110823311695,True,True,False,True,False
T6580,-6.621210000000022,6.621210000000022,-29.03,29.03,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.0321000000000002,24.497152564103647,0.0004999999999999449,0.0,6.621210000000022,0.0,-5.4713110823311695,True,True,False,True,False
T6581,-6.621210000000022,6.621210000000022,-29.03,29.03,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.0321000000000002,24.497652564103646,0.0004999999999999449,0.0,6.621210000000022,0.0,-5.4713110823311695,True,True,False,True,False
T6582,-6.621210000000022,6.621210000000022,-43.75,43.75,1.6324583333333331,0.11427208333333333,1.6324583333333331,3.0625000000000004,24.498152564103645,0.0004999999999999449,0.0,6.621210000000022,0.0,-5.4713110823311695,True,True,False,True,False
