t,dual_CO2_Liq,p_CO2_Liq,dual_Electricity,p_Electricity,comp_in_CO2_Liq,comp_in_Electricity,comp_out_CO2_Comp,wedge_0.07_p_el,store_volume,store_charge_Fuelusetotal,store_discharge,dual_storage_balance_lambda,dual_soc_max_mu,dual_terminal_soc_nu,comp_on,store_charge_on,store_discharge_on,any_activity,idle_but_priced
T3273,-76.47431363101737,76.47431363101737,-42.05,42.05,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.9435000000000002,1.5899583333333385,0.0004999999999999449,0.0,76.47431363101737,0.0,-75.8301782544556,True,True,False,True,False
T3274,-76.47431363101737,76.47431363101737,-41.89,41.89,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.9323,1.5904583333333384,0.0004999999999999449,0.0,76.47431363101737,0.0,-75.8301782544556,True,True,False,True,False
T3275,-76.47431363101737,76.47431363101737,-41.49,41.49,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.9043000000000005,1.5909583333333384,0.0004999999999999449,0.0,76.47431363101737,0.0,-75.8301782544556,True,True,False,True,False
T3276,-76.47431363101737,76.47431363101737,-41.32,41.32,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.8924000000000003,1.5914583333333383,0.0004999999999999449,0.0,76.47431363101737,0.0,-75.8301782544556,True,True,False,True,False
T3277,-76.47431363101737,76.47431363101737,-40.72,40.72,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.8504,1.5919583333333382,0.0004999999999999449,0.0,76.47431363101737,0.0,-75.8301782544556,True,True,False,True,False
T3278,-76.47431363101737,76.47431363101737,-39.15,39.15,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.7405000000000004,1.5924583333333382,0.0004999999999999449,0.0,76.47431363101737,0.0,-75.8301782544556,True,True,False,True,False
T3279,-76.47431363101737,76.47431363101737,-39.04,39.04,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.7328,1.5929583333333381,0.0004999999999999449,0.0,76.47431363101737,0.0,-75.8301782544556,True,True,False,True,False
T3280,-76.47431363101737,76.47431363101737,-39.04,39.04,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.7328,1.593458333333338,0.0004999999999999449,0.0,76.47431363101737,0.0,-75.8301782544556,True,True,False,True,False
T3281,-76.47431363101737,76.47431363101737,-42.53,42.53,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.9771000000000005,1.593958333333338,0.0004999999999999449,0.0,76.47431363101737,0.0,-75.8301782544556,True,True,False,True,False
T3282,-76.47431363101737,76.47431363101737,-42.07,42.07,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.9449000000000005,1.594458333333338,0.0004999999999999449,0.0,76.47431363101737,0.0,-75.8301782544556,True,True,False,True,False
T3283,-76.47431363101737,76.47431363101737,-48.06,48.06,1.6324583333333331,0.11427208333333333,1.6324583333333331,3.3642000000000003,1.594958333333338,0.0004999999999999449,0.0,76.47431363101737,0.0,-75.8301782544556,True,True,False,True,False
T3284,-76.47431363101737,76.47431363101737,-52.9,52.9,0.6529833333333334,0.04570883333333334,0.6529833333333334,3.7030000000000003,0.9419750000000044,0.0,0.6529833333333334,76.47431363101737,0.0,-75.8301782544556,True,False,True,True,False
T3285,-76.47431363101737,76.47431363101737,-49.25,49.25,1.6324583333333331,0.11427208333333333,1.6324583333333331,3.4475000000000002,0.9424750000000044,0.0004999999999999449,0.0,76.47431363101737,0.0,-75.8301782544556,True,True,False,True,False
T3286,-76.47431363101737,76.47431363101737,-48.32,48.32,1.6324583333333331,0.11427208333333333,1.6324583333333331,3.3824000000000005,0.9429750000000043,0.0004999999999999449,0.0,76.47431363101737,0.0,-75.8301782544556,True,True,False,True,False
T3287,-76.47431363101737,76.47431363101737,-43.47,43.47,1.6324583333333331,0.11427208333333333,1.6324583333333331,3.0429000000000004,0.9434750000000043,0.0004999999999999449,0.0,76.47431363101737,0.0,-75.8301782544556,True,True,False,True,False
T3288,-76.47431363101737,76.47431363101737,-37.37,37.37,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.6159,0.9439750000000042,0.0004999999999999449,0.0,76.47431363101737,0.0,-75.8301782544556,True,True,False,True,False
T3289,-76.47431363101737,76.47431363101737,-37.37,37.37,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.6159,0.9444750000000042,0.0004999999999999449,0.0,76.47431363101737,0.0,-75.8301782544556,True,True,False,True,False
T3290,-76.47431363101737,76.47431363101737,-37.37,37.37,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.6159,0.9449750000000041,0.0004999999999999449,0.0,76.47431363101737,0.0,-75.8301782544556,True,True,False,True,False
T3291,-76.47431363101737,76.47431363101737,-39.33684210526315,39.33684210526315,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.7535789473684207,0.9454750000000041,0.0004999999999999449,0.0,76.47431363101737,0.0,-75.8301782544556,True,True,False,True,False
T3292,-76.47431363101737,76.47431363101737,-39.33684210526315,39.33684210526315,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.7535789473684207,0.945975000000004,0.0004999999999999449,0.0,76.47431363101737,0.0,-75.8301782544556,True,True,False,True,False
T3293,-76.47431363101737,76.47431363101737,-39.33684210526315,39.33684210526315,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.7535789473684207,0.946475000000004,0.0004999999999999449,0.0,76.47431363101737,0.0,-75.8301782544556,True,True,False,True,False
T3294,-76.47431363101737,76.47431363101737,-39.33684210526315,39.33684210526315,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.7535789473684207,0.9469750000000039,0.0004999999999999449,0.0,76.47431363101737,0.0,-75.8301782544556,True,True,False,True,False
T3295,-76.47431363101737,76.47431363101737,-39.33684210526315,39.33684210526315,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.7535789473684207,0.9474750000000038,0.0004999999999999449,0.0,76.47431363101737,0.0,-75.8301782544556,True,True,False,True,False
T3296,-76.47431363101737,76.47431363101737,-38.99,38.99,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.7293000000000003,0.9479750000000038,0.0004999999999999449,0.0,76.47431363101737,0.0,-75.8301782544556,True,True,False,True,False
T3297,-76.47431363101737,76.47431363101737,-38.76,38.76,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.7132,0.9484750000000037,0.0004999999999999449,0.0,76.47431363101737,0.0,-75.8301782544556,True,True,False,True,False
T3298,-76.47431363101737,76.47431363101737,-38.28,38.28,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.6796,0.9489750000000037,0.0004999999999999449,0.0,76.47431363101737,0.0,-75.8301782544556,True,True,False,True,False
T3299,-76.47431363101737,76.47431363101737,-37.23,37.23,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.6061,0.9494750000000036,0.0004999999999999449,0.0,76.47431363101737,0.0,-75.8301782544556,True,True,False,True,False
T3300,-76.47431363101737,76.47431363101737,-36.26,36.26,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.5382000000000002,0.9499750000000036,0.0004999999999999449,0.0,76.47431363101737,0.0,-75.8301782544556,True,True,False,True,False
T3301,-76.47431363101737,76.47431363101737,-33.25,33.25,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.3275,0.9504750000000035,0.0004999999999999449,0.0,76.47431363101737,0.0,-75.8301782544556,True,True,False,True,False
