t,comp_out,dual_CO2_Liq,dual_CO2_Comp,dual_Electricity,p_CO2_Liq,p_CO2_Comp,p_Electricity,alpha_CO2_Liq_per_CO2_Comp,alpha_Electricity_per_CO2_Comp,p_CO2_Comp_pred,pred_error
T0050,1.6324583333333331,-21.91726,-23.87726,-28.0,21.91726,23.87726,28.0,1.0,0.07,23.87726,0.0
T0051,1.6324583333333331,-21.91726,-23.87726,-28.0,21.91726,23.87726,28.0,1.0,0.07,23.87726,0.0
T0052,1.6324583333333331,-21.91726,-23.782059999999998,-26.64,21.91726,23.782059999999998,26.64,1.0,0.07,23.782059999999998,0.0
T0053,1.6324583333333331,-21.91726,-22.86226,-13.5,21.91726,22.86226,13.5,1.0,0.07,22.86226,0.0
T0054,1.6324583333333331,-21.91726,-22.87766,-13.72,21.91726,22.87766,13.72,1.0,0.07,22.87766,0.0
T0055,1.6324583333333331,-21.91726,-24.545759999999998,-37.55,21.91726,24.545759999999998,37.55,1.0,0.07,24.545759999999998,0.0
T0056,1.6324583333333331,-21.91726,-28.13046,-88.76,21.91726,28.13046,88.76,1.0,0.07,28.13046,0.0
T0057,1.6324583333333331,-21.91726,-30.52236,-122.93,21.91726,30.52236,122.93,1.0,0.07,30.52236,0.0
T0058,1.6324583333333331,-21.91726,-29.62916,-110.17,21.91726,29.62916,110.17,1.0,0.07,29.62916,0.0
T0059,1.6324583333333331,-21.91726,-28.51826,-94.30000000000001,21.91726,28.51826,94.30000000000001,1.0,0.07,28.51826,0.0
T0060,1.6324583333333331,-21.91726,-28.51826,-94.30000000000001,21.91726,28.51826,94.30000000000001,1.0,0.07,28.51826,0.0
T0061,1.6324583333333331,-21.91726,-28.51826,-94.30000000000001,21.91726,28.51826,94.30000000000001,1.0,0.07,28.51826,0.0
T0062,1.6324583333333331,-21.91726,-28.51826,-94.30000000000001,21.91726,28.51826,94.30000000000001,1.0,0.07,28.51826,0.0
T0063,1.6324583333333331,-21.91726,-28.51826,-94.30000000000001,21.91726,28.51826,94.30000000000001,1.0,0.07,28.51826,0.0
T0064,1.6324583333333331,-21.91726,-28.78076,-98.05,21.91726,28.78076,98.05,1.0,0.07,28.78076,0.0
T0065,1.6324583333333331,-21.91726,-30.35576,-120.55,21.91726,30.35576,120.55,1.0,0.07,30.35576,0.0
T0066,1.6324583333333331,-21.91726,-31.68716,-139.57,21.91726,31.68716,139.57,1.0,0.07,31.68716,0.0
T0067,1.6324583333333331,-21.91726,-31.34556,-134.69,21.91726,31.34556,134.69,1.0,0.07,31.34556,0.0
T0068,1.6324583333333331,-21.91726,-29.954659999999997,-114.82,21.91726,29.954659999999997,114.82,1.0,0.07,29.954659999999997,0.0
T0069,1.6324583333333331,-21.91726,-30.156959999999998,-117.71,21.91726,30.156959999999998,117.71,1.0,0.07,30.156959999999998,0.0
T0070,1.6324583333333331,-21.91726,-28.94498,-100.39600000000002,21.91726,28.94498,100.39600000000002,1.0,0.07,28.94498,0.0
T0071,1.6324583333333331,-21.91726,-29.31486,-105.68,21.91726,29.31486,105.68,1.0,0.07,29.31486,0.0
T0072,1.6324583333333331,-21.91726,-28.94498,-100.39600000000002,21.91726,28.94498,100.39600000000002,1.0,0.07,28.94498,0.0
T0073,1.6324583333333331,-21.91726,-29.17626,-103.7,21.91726,29.17626,103.7,1.0,0.07,29.17626,0.0
T0074,1.6324583333333331,-21.91726,-29.49616,-108.27,21.91726,29.49616,108.27,1.0,0.07,29.49616,0.0
T0075,1.6324583333333331,-21.91726,-29.33166,-105.92,21.91726,29.33166,105.92,1.0,0.07,29.33166,0.0
T0076,1.6324583333333331,-21.91726,-29.15596,-103.41,21.91726,29.15596,103.41,1.0,0.07,29.15596,0.0
T0077,1.6324583333333331,-21.91726,-29.117214999999998,-102.8565,21.91726,29.117214999999998,102.8565,1.0,0.07,29.117214999999998,0.0
T0078,1.6324583333333331,-21.91726,-29.91336,-114.23,21.91726,29.91336,114.23,1.0,0.07,29.91336,0.0
T0079,1.6324583333333331,-21.91726,-31.029159999999997,-130.17,21.91726,31.029159999999997,130.17,1.0,0.07,31.029159999999997,0.0
T0080,0.6529833333333334,-21.91726,-34.70206,-182.64,21.91726,34.70206,182.64,1.0,0.07,34.70206,0.0
T0085,0.6529833333333334,-21.91726,-33.11586,-159.98,21.91726,33.11586,159.98,1.0,0.07,33.11586,0.0
T0086,1.6324583333333331,-21.91726,-32.81556,-155.69,21.91726,32.81556,155.69,1.0,0.07,32.81556,0.0
T0087,1.2060820512815187,-21.91726,-32.81556,-155.69,21.91726,32.81556,155.69,1.0,0.07,32.81556,0.0
T0088,0.6529833333333334,-21.91726,-33.008759999999995,-158.45,21.91726,33.008759999999995,158.45,1.0,0.07,33.008759999999995,0.0
T0091,0.6529833333333334,-21.91726,-33.42946,-164.46,21.91726,33.42946,164.46,1.0,0.07,33.42946,0.0
T0092,1.6324583333333331,-21.91726,-32.68886,-153.88,21.91726,32.68886,153.88,1.0,0.07,32.68886,0.0
T0093,1.6324583333333331,-21.91726,-32.193960000000004,-146.81,21.91726,32.193960000000004,146.81,1.0,0.07,32.193960000000004,0.0
T0094,1.6324583333333331,-21.91726,-30.92976,-128.75,21.91726,30.92976,128.75,1.0,0.07,30.92976,0.0
T0095,1.6324583333333331,-21.91726,-29.82446,-112.96,21.91726,29.82446,112.96,1.0,0.07,29.82446,0.0
T0096,1.6324583333333331,-21.91726,-28.159615,-89.1765,21.91726,28.159615,89.1765,1.0,0.07,28.159615,0.0
T0097,1.6324583333333331,-21.91726,-28.48816,-93.87,21.91726,28.48816,93.87,1.0,0.07,28.48816,0.0
T0098,1.6324583333333331,-21.91726,-25.53556,-51.69,21.91726,25.53556,51.69,1.0,0.07,25.53556,0.0
T0099,1.6324583333333331,-21.91726,-25.42006,-50.04,21.91726,25.42006,50.04,1.0,0.07,25.42006,0.0
T0100,1.6324583333333331,-21.91726,-25.42006,-50.04,21.91726,25.42006,50.04,1.0,0.07,25.42006,0.0
T0101,1.6324583333333331,-21.91726,-25.422159999999998,-50.07,21.91726,25.422159999999998,50.07,1.0,0.07,25.422159999999998,0.0
T0102,1.6324583333333331,-21.91726,-28.45456,-93.39,21.91726,28.45456,93.39,1.0,0.07,28.45456,0.0
T0103,1.6324583333333331,-21.91726,-28.85846,-99.16,21.91726,28.85846,99.16,1.0,0.07,28.85846,0.0
T0104,1.6324583333333331,-21.91726,-28.99776,-101.15,21.91726,28.99776,101.15,1.0,0.07,28.99776,0.0
T0105,1.6324583333333331,-21.91726,-30.98646,-129.56,21.91726,30.98646,129.56,1.0,0.07,30.98646,0.0
T0106,1.6324583333333331,-21.91726,-30.533,-123.08200000000001,21.91726,30.533,123.08200000000001,1.0,0.07,30.533,0.0
T0107,1.6324583333333331,-21.91726,-31.37076,-135.05,21.91726,31.37076,135.05,1.0,0.07,31.37076,0.0
T0108,1.6324583333333331,-21.91726,-31.849154736842102,-141.88421052631577,21.91726,31.849154736842102,141.88421052631577,1.0,0.07,31.849154736842102,0.0
T0109,1.6324583333333331,-21.91726,-31.849154736842102,-141.88421052631577,21.91726,31.849154736842102,141.88421052631577,1.0,0.07,31.849154736842102,0.0
T0110,1.6324583333333331,-21.91726,-31.849154736842102,-141.88421052631577,21.91726,31.849154736842102,141.88421052631577,1.0,0.07,31.849154736842102,0.0
T0111,1.6324583333333331,-21.91726,-31.352559999999997,-134.79,21.91726,31.352559999999997,134.79,1.0,0.07,31.352559999999997,0.0
T0112,1.6324583333333331,-21.91726,-31.42466,-135.82,21.91726,31.42466,135.82,1.0,0.07,31.42466,0.0
T0113,1.6324583333333331,-21.91726,-32.35776,-149.15,21.91726,32.35776,149.15,1.0,0.07,32.35776,0.0
T0114,1.6324583333333331,-21.91726,-32.35776,-149.15,21.91726,32.35776,149.15,1.0,0.07,32.35776,0.0
T0115,1.6324583333333331,-21.91726,-32.35776,-149.15,21.91726,32.35776,149.15,1.0,0.07,32.35776,0.0
T0116,1.6324583333333331,-21.91726,-32.35776,-149.15,21.91726,32.35776,149.15,1.0,0.07,32.35776,0.0
T0117,1.6324583333333331,-21.91726,-31.25036,-133.33,21.91726,31.25036,133.33,1.0,0.07,31.25036,0.0
T0118,1.6324583333333331,-21.91726,-29.72156,-111.49000000000001,21.91726,29.72156,111.49000000000001,1.0,0.07,29.72156,0.0
T0119,1.6324583333333331,-21.91726,-30.24947052631579,-119.03157894736843,21.91726,30.24947052631579,119.03157894736843,1.0,0.07,30.24947052631579,0.0
T0120,1.6324583333333331,-21.91726,-29.83286,-113.08000000000001,21.91726,29.83286,113.08000000000001,1.0,0.07,29.83286,0.0
T0121,1.6324583333333331,-21.91726,-29.84476,-113.25,21.91726,29.84476,113.25,1.0,0.07,29.84476,0.0
T0122,1.6324583333333331,-21.91726,-29.94766,-114.72,21.91726,29.94766,114.72,1.0,0.07,29.94766,0.0
T0123,1.6324583333333331,-21.91726,-30.55596,-123.41000000000001,21.91726,30.55596,123.41000000000001,1.0,0.07,30.55596,0.0
T0124,1.6324583333333331,-21.91726,-30.66376,-124.95,21.91726,30.66376,124.95,1.0,0.07,30.66376,0.0
T0125,1.6324583333333331,-21.91726,-31.49116,-136.77,21.91726,31.49116,136.77,1.0,0.07,31.49116,0.0
T0126,1.6324583333333331,-21.91726,-32.41306,-149.94,21.91726,32.41306,149.94,1.0,0.07,32.41306,0.0
T0127,1.6324583333333331,-21.91726,-31.33156,-134.49,21.91726,31.33156,134.49,1.0,0.07,31.33156,0.0
T0128,0.6529833333333334,-21.91726,-36.42056,-207.19,21.91726,36.42056,207.19,1.0,0.07,36.42056,0.0
T0143,0.6529833333333334,-21.91726,-33.90896,-171.31,21.91726,33.90896,171.31,1.0,0.07,33.90896,0.0
T0144,1.6324583333333331,-21.91726,-30.646259999999998,-124.7,21.91726,30.646259999999998,124.7,1.0,0.07,30.646259999999998,0.0
T0145,1.6324583333333331,-21.91726,-30.94166,-128.92,21.91726,30.94166,128.92,1.0,0.07,30.94166,0.0
T0146,1.6324583333333331,-21.91726,-30.08276,-116.65,21.91726,30.08276,116.65,1.0,0.07,30.08276,0.0
T0147,1.6324583333333331,-21.91726,-29.03906,-101.74,21.91726,29.03906,101.74,1.0,0.07,29.03906,0.0
T0148,1.6324583333333331,-21.91726,-29.03906,-101.74,21.91726,29.03906,101.74,1.0,0.07,29.03906,0.0
T0149,1.6324583333333331,-21.91726,-29.03906,-101.74,21.91726,29.03906,101.74,1.0,0.07,29.03906,0.0
T0150,1.6324583333333331,-21.91726,-29.96656,-114.99,21.91726,29.96656,114.99,1.0,0.07,29.96656,0.0
T0151,1.6324583333333331,-21.91726,-31.730559999999997,-140.19,21.91726,31.730559999999997,140.19,1.0,0.07,31.730559999999997,0.0
T0152,1.6324583333333331,-21.91726,-32.602059999999994,-152.64,21.91726,32.602059999999994,152.64,1.0,0.07,32.602059999999994,0.0
T0153,0.6529833333333334,-21.91726,-33.185159999999996,-160.97,21.91726,33.185159999999996,160.97,1.0,0.07,33.185159999999996,0.0
T0166,0.6529833333333334,-21.75423,-32.81073,-157.95,21.75423,32.81073,157.95,1.0,0.07,32.81073,0.0
T0167,1.6324583333333331,-21.75423,-32.52723,-153.9,21.75423,32.52723,153.9,1.0,0.07,32.52723,0.0
T0168,1.6324583333333331,-21.75423,-31.930725000000002,-145.3785,21.75423,31.930725000000002,145.3785,1.0,0.07,31.930725000000002,0.0
T0169,1.6324583333333331,-21.75423,-32.46633,-153.03,21.75423,32.46633,153.03,1.0,0.07,32.46633,0.0
T0170,1.6324583333333331,-21.75423,-31.97983,-146.08,21.75423,31.97983,146.08,1.0,0.07,31.97983,0.0
T0171,1.6324583333333331,-21.75423,-31.930725000000002,-145.3785,21.75423,31.930725000000002,145.3785,1.0,0.07,31.930725000000002,0.0
T0172,1.6324583333333331,-21.75423,-31.956030000000002,-145.74,21.75423,31.956030000000002,145.74,1.0,0.07,31.956030000000002,0.0
T0173,1.6324583333333331,-21.75423,-32.04213,-146.97,21.75423,32.04213,146.97,1.0,0.07,32.04213,0.0
T0174,1.6324583333333331,-21.75423,-32.035830000000004,-146.88,21.75423,32.035830000000004,146.88,1.0,0.07,32.035830000000004,0.0
T0175,1.6324583333333331,-21.75423,-32.01343,-146.56,21.75423,32.01343,146.56,1.0,0.07,32.01343,0.0
T0176,1.6324583333333331,-21.75423,-32.056830000000005,-147.18,21.75423,32.056830000000005,147.18,1.0,0.07,32.056830000000005,0.0
T0177,1.6324583333333331,-21.75423,-32.51043,-153.66,21.75423,32.51043,153.66,1.0,0.07,32.51043,0.0
T0178,1.6324583333333331,-21.75423,-32.67913,-156.07,21.75423,32.67913,156.07,1.0,0.07,32.67913,0.0
T0179,0.6529833333333334,-21.75423,-32.88983,-159.08,21.75423,32.88983,159.08,1.0,0.07,32.88983,0.0
T0180,0.6529833333333334,-21.75423,-32.84923,-158.5,21.75423,32.84923,158.5,1.0,0.07,32.84923,0.0
